objectid,parentid,title,creator,date,date-is-approximate?,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,rights_notes,display_template,object_location,image_small,image_thumb,image_alt_text,related_link,related_link2,direct_link,embed_code
hc_compound_access_001,hc_compound_access_002,You got caught working for the FSB,North Atlantic Fella Organization,2024-09-04,,NAFO mascot pointing and laughing about Tim Pool's parent company accepting $10 million to fund pro-Russian content,satire; comedy; politics and government; United States; Russian Invasion of Ukraine-2022,,,,X,hc_compound_access_001,Image;StillImage,image/jpeg,eng,IN COPYRIGHT,https://rightsstatements.org/page/InC/1.0/?language=en,https://developer.x.com/en/developer-terms/display-requirements,,,,,,https://nafo-ofan.org/en-ca/pages/we-are-nafo,,,"<blockquote class='twitter-tweet'><p lang='zxx' dir='ltr'><a href='https://t.co/hgBjN1vZO8'>https://t.co/hgBjN1vZO8</a> <a href='https://t.co/b2oM7NiVIU'>pic.twitter.com/b2oM7NiVIU</a></p>&mdash; North Atlantic Fella Organization (@Official_NAFO) <a href='https://twitter.com/Official_NAFO/status/1831470388934799372?ref_src=twsrc%5Etfw'>September 4, 2024</a></blockquote> <script async src='https://platform.twitter.com/widgets.js' charset='utf-8'></script>"
hc_compound_access_002,,Crimea beach party Fella,North Atlantic Fella Organization,2024-06-04,,DV Kirichenko's Crimea beach party themed Fella,satire; comedy; politics and government; United States; Russian Invasion of Ukraine-2022,,,,X,hc_compound_access_002,Image;StillImage,image/jpeg,eng,IN COPYRIGHT,https://rightsstatements.org/page/InC/1.0/?language=en,https://developer.x.com/en/developer-terms/display-requirements,,,,,,https://nafo-ofan.org/en-ca/pages/we-are-nafo,,,"<blockquote class='twitter-tweet'><p lang='en' dir='ltr'>Hey <a href='https://twitter.com/DVKirichenko?ref_src=twsrc%5Etfw'>@DVKirichenko</a> here’s the Crimea beach party version of your fella from <a href='https://twitter.com/KanariFella?ref_src=twsrc%5Etfw'>@KanariFella</a> 🫶<br>I hope you like him ❤️‍🔥❤️‍🔥<a href='https://twitter.com/hashtag/felladelivery?src=hash&amp;ref_src=twsrc%5Etfw'>#felladelivery</a> <a href='https://t.co/9T56bCXufP'>pic.twitter.com/9T56bCXufP</a></p>&mdash; Nicola (@quine_watson) <a href='https://twitter.com/quine_watson/status/1808784108065063363?ref_src=twsrc%5Etfw'>July 4, 2024</a></blockquote> <script async src='https://platform.twitter.com/widgets.js' charset='utf-8'></script>"
